Semana,Caudal
2005-18,49.13115
2005-19,46.34966
2005-20,40.17587
2005-21,35.99865
2005-22,33.78301
2005-23,32.52701
2005-24,31.40578
2005-25,27.47966
2005-26,27.98693
2005-27,26.4461
2005-28,27.22212
2005-29,28.85771
2005-30,25.314
2005-31,24.85529
2005-32,27.41314
2005-33,25.94429
2005-34,25.49143
2005-35,27.458
2005-36,25.503
2005-37,33.58314
2005-38,36.45945
2005-39,40.4288
2005-40,48.94
2005-41,32.91214
2005-42,47.56086
2005-43,41.55729
2005-44,52.16086
2005-45,47.66386
2005-46,46.358
2005-47,55.55057
2005-48,45.02929
2005-49,56.582
2005-50,137.59057
2005-51,144.05457
2006-00,66.674
2006-01,61.76357
2006-02,97.92343
2006-03,84.44314
2006-04,108.38057
2006-05,162.68157
2006-06,138.74
2006-07,87.14886
2006-08,125.08714
2006-09,209.33029
2006-10,184.02286
2006-11,299.06057
2006-12,284.48529
2006-13,288.39571
2006-14,516.30086
2006-15,138.89857
2006-16,85.79486
2006-17,66.4
2006-18,63.98214
2006-19,52.74757
2006-20,44.779
2006-21,36.60157
2006-22,37.12457
2006-23,45.87414
2006-24,29.86686
2006-25,27.32686
2006-26,25.39257
2006-27,24.35114
2006-28,23.83171
2006-29,25.86814
2006-30,23.66914
2006-31,23.31071
2006-32,18.30129
2006-33,21.11471
2006-34,20.71757
2006-35,26.27914
2006-36,27.66057
2006-37,29.58214
2006-38,25.88871
2006-39,25.616
2006-40,34.19629
2006-41,34.04143
2006-42,50.631
2006-43,60.81814
2006-44,36.44529
2006-45,55.93329
2006-46,65.03929
2006-47,79.75314
2006-48,77.012
2006-49,100.39457
2006-50,129.22914
2006-51,184.19814
2007-00,158.379
2007-01,137.66543
2007-02,114.51457
2007-03,124.57414
2007-04,132.843
2007-05,119.08229
2007-06,160.5
2007-07,88.95014
2007-08,78.10614
2007-09,155.57843
2007-10,478.41486
2007-11,309.34771
2007-12,247.683
2007-13,330.21514
2007-14,316.14057
2007-15,155.80314
2007-16,140.14186
2007-17,102.744
2007-18,95.07329
2007-19,75.00071
2007-20,52.39157
2007-21,43.81543
2007-22,34.45057
2007-23,33.34957
2007-24,29.56929
2007-25,28.12729
2007-26,25.41371
2007-27,22.83586
2007-28,22.79914
2007-29,24.78029
2007-30,23.20043
2007-31,23.325
2007-32,21.68014
2007-33,22.42657
2007-34,28.16714
2007-35,30.35357
2007-36,26.30557
2007-37,27.99957
2007-38,28.92186
2007-39,24.39114
2007-40,43.916
2007-41,31.86643
2007-42,53.945
2007-43,56.75514
2007-44,51.043
2007-45,58.93171
2007-46,64.8898
2007-47,73.923
2007-48,56.74386
2007-49,54.20729
2007-50,63.106
2007-51,66.90029
2007-52,94.20743
2008-00,94.20743
2008-01,98.51843
2008-02,151.33686
2008-03,162.29571
2008-04,226.27457
2008-05,102.61586
2008-06,97.01886
2008-07,253.92529
2008-08,322.36386
2008-09,299.72871
2008-10,144.50529
2008-11,178.39129
2008-12,177.20557
2008-13,209.37
2008-14,182.34114
2008-15,146.49329
2008-16,112.77529
2008-17,108.678
2008-18,68.19257
2008-19,53.31857
2008-20,44.24043
2008-21,41.96457
2008-22,33.98386
2008-23,32.46286
2008-24,32.93414
2008-25,36.92757
2008-26,32.28271
2008-27,30.60286
2008-28,31.56286
2008-29,29.20243
2008-30,25.349
2008-31,25.238
2008-32,22.89267
2008-33,22.85129
2008-34,25.18871
2008-35,25.822
2008-36,24.83043
2008-37,22.71129
2008-38,21.89286
2008-39,28.54571
2008-40,47.92543
2008-41,38.64014
2008-42,45.01771
2008-43,83.18014
2008-44,90.88729
2008-45,55.92314
2008-46,51.544
2008-47,60.07429
2008-48,76.28643
2008-49,61.19329
2008-50,45.36086
2008-51,84.07186
2008-52,63.88657
2009-00,119.27371
2009-01,169.50214
2009-02,208.88314
2009-03,144.59029
2009-04,330.926
2009-05,332.54714
2009-06,292.27517
2009-07,303.36157
2009-08,214.59743
2009-09,565.92029
2009-10,405.97486
2009-11,328.82483
2009-12,492.37957
2009-13,396.06529
2009-14,529.23043
2009-15,207.71771
2009-16,155.08629
2009-17,113.4
2009-18,87.52686
2009-19,85.78629
2009-20,69.97614
2009-21,59.76917
2009-22,46.126
2009-23,40.39429
2009-24,37.50943
2009-25,34.73
2009-26,29.76229
2009-27,30.10557
2009-28,29.41729
2009-29,28.00243
2009-30,29.00829
2009-31,27.84314
2009-32,30.70857
2009-33,33.59214
2009-34,31.19671
2009-35,32.10786
2009-36,36.38029
2009-37,37.44629
2009-38,34.43429
2009-39,42.48014
2009-40,40.27871
2009-41,57.19029
2009-42,82.48414
2009-43,58.98257
2009-44,44.11529
2009-45,74.50729
2009-46,138.39614
2009-47,226.31471
2009-48,179.56571
2009-49,148.71043
2009-50,339.53433
2009-51,247.81129
2010-00,149.54857
2010-01,174.35357
2010-02,184.64129
2010-03,224.48671
2010-04,113.138
2010-05,239.72457
2010-06,195.44814
2010-07,140.07
2010-08,137.44971
2010-09,162.7615
2010-10,215.33229
2010-11,177.783
2010-12,189.67029
2010-13,204.56543
2010-14,150.727
2010-15,98.29986
2010-16,76.87729
2010-17,103.9805
2010-18,65.46486
2010-19,55.08629
2010-20,53.28743
2010-21,46.69457
2010-22,39.00371
2010-23,35.45
2010-24,37.17214
2010-25,33.86957
2010-26,36.6415
2010-27,34.77157
2010-28,30.7515
2010-29,30.925
2010-30,34.577
2010-31,34.27071
2010-32,35.23657
2010-33,35.89843
2010-34,35.00583
2010-35,30.862
2010-36,28.59829
2010-37,29.99617
2010-38,39.43771
2010-39,38.62757
2010-40,40.54771
2010-41,53.46
2010-42,37.17683
2010-43,35.59557
2010-44,46.75433
2010-45,90.7465
2010-46,82.00657
2010-47,71.7895
2010-48,135.62886
2010-49,126.047
2010-50,185.73371
2010-51,457.70257
2011-00,256.07143
2011-01,381.60771
2011-02,448.538
2011-03,129.55457
2011-04,178.661
2011-05,205.90543
2011-06,199.45
2011-07,99.62571
2011-08,103.15986
2011-09,164.57186
2011-10,98.99857
2011-11,145.37429
2011-12,222.38771
2011-13,301.39514
2011-14,223.97714
2011-15,124.62943
2011-16,105.49271
2011-17,96.98
2011-18,63.67386
2011-19,54.911
2011-20,50.3425
2011-21,41.15314
2011-22,38.51686
2011-23,39.08857
2011-24,38.11257
2011-25,36.19557
2011-26,35.00357
2011-27,31.52757
2011-28,31.87957
2011-29,26.74557
2011-30,26.94557
2011-31,28.83
2011-32,26.66843
2011-33,28.33686
2011-34,29.36686
2011-35,25.15043
2011-36,27.31214
2011-37,25.86414
2011-38,25.37043
2011-39,26.39243
2011-40,34
2011-41,30.64214
2011-42,28.40643
2011-43,34.51457
2011-44,43.58714
2011-45,68.87014
2011-46,78.12429
2011-47,53.14629
2011-48,52.40757
2011-49,150.51157
2011-50,140.07271
2011-51,179.88686
2012-00,136.32829
2012-01,381.64
2012-02,164.51657
2012-03,123.6278
2012-04,154.32414
2012-05,370.49586
2012-06,203.52486
2012-07,159.299
2012-08,178.95929
2012-09,202.09671
2012-10,177.12114
2012-11,119.62386
2012-12,200.74614
2012-13,97.52243
2012-14,160.44143
2012-15,215.65243
2012-16,204.78743
2012-17,144.9
2012-18,82.01714
2012-19,68.3
2012-20,65.48057
2012-21,48.55786
2012-22,39.10971
2012-23,34.814
2012-24,35.60329
2012-25,32.728
2012-26,29.446
2012-27,29.518
2012-28,28.95557
2012-29,29.21
2012-30,28.08083
2012-31,28.32
2012-32,26.9785
2012-33,27.15
2012-34,27.08529
2012-35,27.08529
2012-36,26.392
2012-37,27.01029
2012-38,31.94714
2012-39,35.71429
2012-40,31.899
2012-41,33.31
